Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
Mercedes Russell,LAS,C,20,163,9.6,.513,.444,.000,.519,7.5,8.8,10.7,1.6,2.3,17.4,11.0,108,113,0.2,0.0,0.2,.046
Nyara Sabally,NYL,C,17,305,13.5,.529,.493,.092,.329,10.9,14.6,6.9,1.5,5.1,15.5,15.6,104,101,0.3,0.6,0.8,.109
Satou Sabally,PHO,F,39,1039,19.5,.533,.469,.406,.359,5.8,12.7,17.4,2.4,1.2,11.4,29.2,105,101,1.8,2.0,3.8,.147
Janelle Salaün,GSV,F,36,973,12.0,.523,.493,.475,.171,3.9,11.0,8.7,1.2,0.3,12.0,21.2,99,104,0.3,1.4,1.8,.073
Karlie Samuelson,MIN,G,16,228,6.8,.550,.476,.810,.333,1.6,5.2,10.1,1.4,0.4,18.6,11.9,105,105,0.2,0.3,0.5,.079
Madison Scott,WAS,G-F,9,47,8.4,.549,.455,.091,.364,2.6,1.3,7.2,2.2,0.0,7.3,13.5,113,110,0.1,0.0,0.1,.086
Jessica Shepard,MIN,F,40,835,21.1,.634,.638,.005,.498,13.4,20.9,19.4,1.2,0.4,18.7,17.1,122,99,2.9,1.8,4.6,.223
Maddy Siegrist,DAL,F,26,702,17.4,.560,.539,.301,.216,8.2,9.1,5.3,1.4,2.0,4.5,19.1,117,114,1.8,0.0,1.8,.105
Kamiah Smalls,ATL,G,3,3,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,110,0.0,0.0,0.0,.021
Alanna Smith,MIN,F,42,1114,18.1,.563,.565,.488,.197,7.1,11.4,16.5,2.6,6.6,15.3,17.5,110,96,1.9,2.9,4.8,.172
Azura Stevens,LAS,F-C,44,1249,20.2,.596,.564,.454,.234,7.2,16.9,12.6,2.2,3.5,12.0,19.2,115,106,3.2,1.5,4.7,.151
