Season,Date,home_abbr,away_abbr,home_pts,away_pts,home_win,opponent_abbr,ELO_t,opp_pre_elo_t,O_mean,O_var,O_p90,SOS_t,elo_avg_pre,O_t_list_json,O_len,O_mean_calc,O_var_calc,O_p90_calc
2020,2020-08-20,IND,SEA,90.0,84.0,1.0,SEA,1474.1582088994164,1582.308930517959,1502.8741638111758,3485.9937385972457,1563.245749802105,1.0019161092074509,1499.9999999999998,"[1543.551,1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",10,1502.8743,3486.0033070099976,1563.2461999999998
2020,2020-08-22,CHI,IND,87.0,76.0,1.0,CHI,1485.8164657286288,1543.5506023722414,1498.3545595266132,3669.058147328776,1564.9599949080036,0.998903039684409,1499.9999999999998,"[1561.532,1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",9,1498.3546666666666,3669.066153111109,1564.9604
2020,2020-08-25,SEA,IND,87.0,74.0,1.0,SEA,1478.821598779921,1561.5315046962055,1490.457441380414,3566.410140609637,1546.8717058182249,0.9936382942536094,1500.0,"[1458.824,1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",8,1490.4575,3566.4122499999994,1546.8716
2020,2020-08-29,IND,DAL,78.0,82.0,0.0,DAL,1472.4657679361617,1458.823660698362,1494.9765529064214,3912.518351677925,1551.4148843806497,0.9966510352709476,1500.0,"[1525.061,1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",7,1494.9765714285713,3912.5236616734696,1551.4148
2020,2020-08-31,IND,CHI,77.0,100.0,0.0,CHI,1460.6542170802502,1525.061337232267,1489.9624221854474,4388.614195415123,1555.958062943074,0.9933082814569648,1500.0,"[1419.895,1533.242,1490.736,1578.674,1388.924,1528.304]",6,1489.9624999999999,4388.624552583334,1555.958
2020,2020-09-01,ATL,IND,102.0,90.0,1.0,ATL,1451.0686498176751,1419.8947246638309,1503.9759616897709,4088.061297862768,1560.5012415054985,1.002650641126514,1499.9999999999998,"[1533.242,1490.736,1578.674,1388.924,1528.304]",5,1503.976,4088.0803696000003,1560.5012
2020,2020-09-03,PHO,IND,105.0,81.0,1.0,PHO,1441.60997811445,1533.2421701309513,1496.659409579475,4842.416948415137,1563.562824633446,0.9977729397196502,1500.0,"[1490.736,1578.674,1388.924,1528.304]",4,1496.6595,4842.444600750002,1563.563
2020,2020-09-05,IND,CON,77.0,96.0,0.0,CON,1435.4747349803658,1490.735815450122,1498.6339409559266,6440.960834593821,1568.5998683406965,0.9990892939706176,1500.0000000000002,"[1578.674,1388.924,1528.304]",3,1498.634,6440.998200000002,1568.6
2020,2020-09-08,LVA,IND,92.0,86.0,1.0,LVA,1425.6261494757855,1578.6739557551966,1458.6139335562916,4856.638275090219,1514.3656016574143,0.9724092890375278,1500.0,"[1388.924,1528.304]",2,1458.614,4856.696100000007,1514.366
2020,2020-09-10,IND,NYL,85.0,75.0,1.0,NYL,1420.8848446187567,1388.9243484298884,1528.303518682695,0.0,1528.303518682695,1.01886901245513,1500.0,[1528.304],1,1528.304,0.0,1528.304
2020,2020-09-12,IND,MIN,86.0,98.0,0.0,MIN,1428.5686385179308,1528.303518682695,,,,,1500.0,[],0,,,
2021,2021-05-14,NYL,IND,90.0,87.0,1.0,NYL,1500.0,1500.0,1500.5577374249085,303.4116461286062,1519.6714831844015,1.000371824949939,1500.0,"[1508.571,1520.0,1477.791,1487.537,1478.232,1512.321,1519.452]",7,1500.5577142857144,303.4119919183673,1519.6712
